[00:00 - 00:00]  What's up, man?
[00:00 - 00:02]  Don't look at my f***ing mouth.
[00:02 - 00:04]  I'm the one that called.
[00:04 - 00:05]  Can you get me in your head?
[00:05 - 00:05]  Come here, bro.
[00:05 - 00:06]  Step out of here, bro.
[00:06 - 00:08]  I'm here because you punched this old lady.
[00:08 - 00:10] (Audio Gap / Potential Dialogue or SFX)
[00:10 - 00:11]  Don't touch me.
[00:11 - 00:11]  Don't touch me.
[00:11 - 00:12]  Don't be afraid of me.
[00:12 - 00:14]  I am at peace.
[00:14 - 00:15]  Hey, you are so stupid.
[00:15 - 00:17]  I'm about to touch you in one place and you're gonna die.
[00:18 - 00:19]  Back up or I'm gonna f***ing eat you.
[00:19 - 00:20]  Back up.
[00:21 - 00:22]  Snoke, get out.
[00:22 - 00:23]  Get on the ground.
[00:23 - 00:24]  I'm allergic to peppers.
[00:24 - 00:26]  Then get on the ground now.
[00:26 - 00:27]  Hey, you smell kind of good, bro.
[00:27 - 00:27]  All the way.
[00:27 - 00:28]  Get on the ground.
[00:28 - 00:29]  Smell really good.
[00:29 - 00:30]  Get on the ground right now.
[00:30 - 00:31]  Bro, I'm sorry.
[00:32 - 00:33]  Goodbye.
[00:33 - 00:35]  Get on the ground right now or you're gonna get it again.

--- Full Text Summary ---
What's up, man? Don't look at my f***ing mouth. I'm the one that called. Can you get me in your head? Come here, bro. Step out of here, bro. I'm here because you punched this old lady. Don't touch me. Don't touch me. Don't be afraid of me. I am at peace. Hey, you are so stupid. I'm about to touch you in one place and you're gonna die. Back up or I'm gonna f***ing eat you. Back up. Snoke, get out. Get on the ground. I'm allergic to peppers. Then get on the ground now. Hey, you smell kind of good, bro. All the way. Get on the ground. Smell really good. Get on the ground right now. Bro, I'm sorry. Goodbye. Get on the ground right now or you're gonna get it again.
