[00:00 - 00:02]  왜 다른 모습을 보여요?
[00:02 - 00:04]  출생에 비밀이 있을 거라 생각했지만
[00:04 - 00:06]  나 18살이야. 오래전에 결혼했잖아.
[00:06 - 00:07]  너는 성립하지 않았어.
[00:07 - 00:09]  이건 진짜 상상도 못했습니다.
[00:09 - 00:11]  나 병원에서 걸어다녔는데
[00:11 - 00:13]  이 아름다운 여자를 만났어.
[00:13 - 00:14]  우리 둘이 아기 낳았지.
[00:14 - 00:16]  너를 다시 데려다주었을 때
[00:16 - 00:17]  너를 바꿔야 했겠지.
[00:17 - 00:19]  문제는 부모님도 이를 모르고 있었고
[00:19 - 00:20]  조금 헷갈렸는데
[00:20 - 00:21]  우리 생각은
[00:21 - 00:22]  이 남자는
[00:22 - 00:25]  그의 누나들과 똑같지 않겠지.
[00:25 - 00:26]  내 피부색이 아니야!
[00:26 - 00:27]  근데 너가 기분이 좋아지면
[00:27 - 00:29]  너의 생명적 부모님이 우리에게 연락이 왔어.
[00:29 - 00:31]  그녀가 깨달았을 때부터
[00:31 - 00:32]  섞인 것 같았어.
[00:32 - 00:33]  그녀가 언제 깨달았지?
[00:33 - 00:33]  오늘 아침!
[00:33 - 00:35]  찐부모도 별다를 거 없었는데요.
[00:35 - 00:36]  어떻게 아무도 이걸 합치지 않았어?
[00:36 - 00:38]  내가 4살 때 합쳤어!
[00:38 - 00:39]  우리 바보 같다고 말하는 거야?
[00:39 - 00:40]  네!
[00:40 - 00:41]  정답을 맞혀봐.
[00:41 - 00:42]  그 순간
[00:43 - 00:45]  그게 너의 생명적 부모님일 거야.
[00:45 - 00:47]  찐 아들을 만나러 한걸음에 달려온 찐부모님.
[00:47 - 00:47]  하지만
[00:47 - 00:48]  어?
[00:48 - 00:49]  썬!

--- Full Text Summary ---
왜 다른 모습을 보여요? 출생에 비밀이 있을 거라 생각했지만 나 18살이야. 오래전에 결혼했잖아. 너는 성립하지 않았어. 이건 진짜 상상도 못했습니다. 나 병원에서 걸어다녔는데 이 아름다운 여자를 만났어. 우리 둘이 아기 낳았지. 너를 다시 데려다주었을 때 너를 바꿔야 했겠지. 문제는 부모님도 이를 모르고 있었고 조금 헷갈렸는데 우리 생각은 이 남자는 그의 누나들과 똑같지 않겠지. 내 피부색이 아니야! 근데 너가 기분이 좋아지면 너의 생명적 부모님이 우리에게 연락이 왔어. 그녀가 깨달았을 때부터 섞인 것 같았어. 그녀가 언제 깨달았지? 오늘 아침! 찐부모도 별다를 거 없었는데요. 어떻게 아무도 이걸 합치지 않았어? 내가 4살 때 합쳤어! 우리 바보 같다고 말하는 거야? 네! 정답을 맞혀봐. 그 순간 그게 너의 생명적 부모님일 거야. 찐 아들을 만나러 한걸음에 달려온 찐부모님. 하지만 어? 썬!
